config,subject,ratio,n_aug,accuracy,f1,auc
GAN_009_fm50_postnet1_stack0,2,0.1,23,0.96242774566474,0.8888888888888888,0.9831776819923372
GAN_009_fm50_postnet1_stack0,2,0.2,46,0.96242774566474,0.8907563025210085,0.982698754789272
GAN_009_fm50_postnet1_stack0,2,0.3,69,0.9566473988439308,0.8739495798319328,0.9797054597701148
GAN_009_fm50_postnet1_stack0,2,0.4,92,0.9710982658959536,0.912280701754386,0.9800646551724136
GAN_009_fm50_postnet1_stack0,2,0.5,115,0.953757225433526,0.8688524590163934,0.9791666666666666
GAN_009_fm50_postnet1_stack0,3,0.1,23,0.8439306358381503,0.6029411764705882,0.9069085249042144
GAN_009_fm50_postnet1_stack0,3,0.2,46,0.8815028901734104,0.6821705426356589,0.9124760536398469
GAN_009_fm50_postnet1_stack0,3,0.3,69,0.869942196531792,0.6341463414634146,0.9043941570881224
GAN_009_fm50_postnet1_stack0,3,0.4,92,0.8410404624277457,0.6308724832214765,0.9072677203065134
GAN_009_fm50_postnet1_stack0,3,0.5,115,0.8439306358381503,0.5909090909090909,0.8942169540229885
GAN_009_fm50_postnet1_stack0,4,0.1,23,0.9132947976878611,0.7222222222222222,0.956477490421456
GAN_009_fm50_postnet1_stack0,4,0.2,46,0.8786127167630058,0.7083333333333334,0.9533045977011494
GAN_009_fm50_postnet1_stack0,4,0.3,69,0.884393063583815,0.7183098591549296,0.95102969348659
GAN_009_fm50_postnet1_stack0,4,0.4,92,0.916184971098266,0.7716535433070866,0.9458812260536398
GAN_009_fm50_postnet1_stack0,4,0.5,115,0.9190751445086706,0.7543859649122807,0.9533644636015326
GAN_009_fm50_postnet1_stack0,5,0.1,23,0.9364161849710982,0.819672131147541,0.9626436781609196
GAN_009_fm50_postnet1_stack0,5,0.2,46,0.916184971098266,0.7716535433070866,0.9642001915708812
GAN_009_fm50_postnet1_stack0,5,0.3,69,0.9277456647398844,0.8031496062992126,0.9674329501915708
GAN_009_fm50_postnet1_stack0,5,0.4,92,0.9017341040462428,0.7571428571428571,0.9707854406130269
GAN_009_fm50_postnet1_stack0,5,0.5,115,0.930635838150289,0.8032786885245902,0.9735392720306514
GAN_009_fm50_postnet1_stack0,6,0.1,23,0.8294797687861272,0.6380368098159509,0.9257064176245212
GAN_009_fm50_postnet1_stack0,6,0.2,46,0.9046242774566474,0.736,0.9230124521072798
GAN_009_fm50_postnet1_stack0,6,0.3,69,0.916184971098266,0.7563025210084033,0.9204382183908046
GAN_009_fm50_postnet1_stack0,6,0.4,92,0.8988439306358381,0.72,0.9171455938697318
GAN_009_fm50_postnet1_stack0,6,0.5,115,0.884393063583815,0.6875,0.924808429118774
GAN_009_fm50_postnet1_stack0,7,0.1,23,0.838150289017341,0.6455696202531646,0.9292983716475096
GAN_009_fm50_postnet1_stack0,7,0.2,46,0.8352601156069365,0.6369426751592356,0.9192409003831418
GAN_009_fm50_postnet1_stack0,7,0.3,69,0.8757225433526011,0.6766917293233082,0.9225335249042146
GAN_009_fm50_postnet1_stack0,7,0.4,92,0.8439306358381503,0.6493506493506493,0.9196599616858238
GAN_009_fm50_postnet1_stack0,7,0.5,115,0.8583815028901735,0.6573426573426573,0.9266044061302682
GAN_009_fm50_postnet1_stack0,8,0.1,23,0.8265895953757225,0.6,0.8857758620689655
GAN_009_fm50_postnet1_stack0,8,0.2,46,0.8497109826589595,0.6231884057971014,0.8816451149425287
GAN_009_fm50_postnet1_stack0,8,0.3,69,0.8757225433526011,0.6504065040650406,0.8964319923371648
GAN_009_fm50_postnet1_stack0,8,0.4,92,0.8497109826589595,0.6285714285714286,0.8865541187739464
GAN_009_fm50_postnet1_stack0,8,0.5,115,0.869942196531792,0.6616541353383458,0.8929597701149425
GAN_009_fm50_postnet1_stack0,9,0.1,23,0.9190751445086706,0.7741935483870968,0.9697677203065136
GAN_009_fm50_postnet1_stack0,9,0.2,46,0.907514450867052,0.7575757575757576,0.9680914750957854
GAN_009_fm50_postnet1_stack0,9,0.3,69,0.9017341040462428,0.7424242424242424,0.95731561302682
GAN_009_fm50_postnet1_stack0,9,0.4,92,0.9277456647398844,0.7899159663865546,0.9715636973180076
GAN_009_fm50_postnet1_stack0,9,0.5,115,0.9450867052023122,0.8347826086956521,0.9728807471264368
GAN_009_fm50_postnet1_stack0,10,0.1,23,0.9190751445086706,0.7846153846153846,0.9718630268199234
GAN_009_fm50_postnet1_stack0,10,0.2,46,0.9364161849710982,0.8225806451612904,0.9734794061302683
GAN_009_fm50_postnet1_stack0,10,0.3,69,0.930635838150289,0.8064516129032258,0.9699473180076628
GAN_009_fm50_postnet1_stack0,10,0.4,92,0.9190751445086706,0.7846153846153846,0.9732399425287357
GAN_009_fm50_postnet1_stack0,10,0.5,115,0.9104046242774566,0.7669172932330827,0.9716235632183908
eeg_gan_vanilla_full,1,0.1,23,0.8901734104046243,0.7323943661971831,0.9562978927203064
eeg_gan_vanilla_full,1,0.2,46,0.8872832369942196,0.723404255319149,0.9600694444444444
eeg_gan_vanilla_full,1,0.3,69,0.9104046242774566,0.7559055118110236,0.9580340038314176
eeg_gan_vanilla_full,1,0.4,92,0.884393063583815,0.7058823529411765,0.9503711685823756
eeg_gan_vanilla_full,1,0.5,115,0.8786127167630058,0.7123287671232876,0.9566570881226052
eeg_gan_vanilla_full,2,0.1,23,0.9508670520231214,0.864,0.9854525862068966
eeg_gan_vanilla_full,2,0.2,46,0.9508670520231214,0.8495575221238938,0.9813218390804598
eeg_gan_vanilla_full,2,0.3,69,0.9508670520231214,0.8617886178861789,0.9806633141762452
eeg_gan_vanilla_full,2,0.4,92,0.9450867052023122,0.8376068376068376,0.977610153256705
eeg_gan_vanilla_full,2,0.5,115,0.953757225433526,0.864406779661017,0.9822198275862069
eeg_gan_vanilla_full,3,0.1,23,0.884393063583815,0.6491228070175439,0.9055316091954022
eeg_gan_vanilla_full,3,0.2,46,0.8815028901734104,0.6611570247933884,0.9038553639846744
eeg_gan_vanilla_full,3,0.3,69,0.846820809248555,0.6131386861313869,0.9037954980842912
eeg_gan_vanilla_full,3,0.4,92,0.8497109826589595,0.6285714285714286,0.9013409961685824
eeg_gan_vanilla_full,3,0.5,115,0.8670520231213873,0.6461538461538462,0.8996048850574712
